Variable Name,Short Description,Long Description,Data Source
Neighborhood,Neighborhood,Neighborhood,Neighborhood
Longitude,Longitude,Longitude,Longitude
Latitude,Latitude,Latitude,Latitude
Population,Population,Population,No Source
PrimaryCare,Primary care provider rate (% of adults); 2016-2018,Percent of adults who report that they have at least one person they think of as their personal doctor or health care provider.,Chicago Department of Public Health; Healthy Chicago Survey
NoInsurance,Uninsured rate (% of residents); 2017-2021,Percent of residents without health insurance (at the time of the survey).,American Community Survey (Tables B27001/C27001)
ViolentCrime,Property crime (crimes); 2017-2021,Property crimes. Includes burglary; larceny; motor vehicle theft; and arson crimes.,Crime data portal
PropCrime,Violent crime (crimes); 2017-2021,Crimes related to violence. Includes homicide; criminal sexual assault; robbery; aggravated assault; and aggravated battery.,Crime data portal
Eviction,Eviction rate (% of renter-occupied households); 2018,Percentage of renter-occupied housing units with an eviction over the past year. An eviction happens when a landlord expels people from property he or she owns. Evictions are landlord-initiated involuntary moves that happen to renters. This is based on available eviction records and estimates for missing data; and does not include voluntary move-outs or evictions that take place outside of the legal system. A high eviction rate could be based on a high number of evictions; a very low number of renter-occupied units; or both.,The Eviction Lab at Princeton University (All yearly data); Cook County Sheriff's Office of Research (Monthly data in Chicago only)
CrowdedHousing,Crowded housing (% of occupied housing units); 2017-2021,Percent of occupied housing units with more than one occupant per room (e.g. three occupants in a one-bedroom apartment).,American Community Survey (Table B25014)
Vacant,Vacant (% of housing units); 2017-2021,,American Community Survey (Table B25002)
RentBurden,Rent-burdened (% of renter-occupied housing units); 2017-2021,Households spending more than 30% of income on rent are considered rent-burdened. Rent costs do not include utilities; insurance; or building fees.,American Community Survey (Table B25070)
SevereRentBurden,Severely rent-burdened (% of renter-occupied housing units); 2017-2021,Households spending more than 50% of income on rent are considered severely rent-burdened. Rent costs do not include utilities; insurance; or building fees.,American Community Survey (Table B25070)
Particulates,Particulate matter (PM 2.5) concentration (Âµg/m3); 2020,Annual average concentration in micrograms per cubic meter. PM 2.5; or particulate matter smaller than 2.5 microns in diameter; is one of the most dangerous pollutants because the particles can penetrate deep into the alveoli of the lungs.,Environmental Protection Agency; EJSCREEN (EJSCREEN)
LowFoodAccess,Low food access (% of residents); 2019,Percent of residents who have low access to food; defined solely by distance: further than 1/2 mile from the nearest supermarket in an urban area; or further than 10 miles in a rural area.,USDA; Economic Research Service; Food Access Research Atlas (Food Access Research Atlas)
OpioidOverdose,Opioid-related overdose mortality rate (per 100;000 population); 2020,Age-adjusted rate of opioid-related overdose deaths among Chicago residents per 100;000 population.,Cook County Medical Examiner
Cancer,Cancer diagnosis rate (per 100;000 population); 2015-2019,Annual diagnosis rate for all invasive cancers. Does not include pre-cancerous diagnoses such as breast cancer in situ or urinary cancer in situ. All ages; risk-adjusted.,Illinois Department of Public Health; Illinois State Cancer Registry (Calculated by Metopio)
AsthmaRate,Adult asthma rate (% of adults); 2016-2018,Percent of adults who reported that a doctor; nurse or other health professional has diagnosed them with asthma; and they currently have asthma.,Chicago Department of Public Health; Healthy Chicago Survey
Diabetes,Adult diabetes rate (% of adults); 2016-2018,Percent of adults who reported that a doctor; nurse or other health professional has diagnosed them with diabetes (excludes pre-diabetes or diabetes only during pregnancy).,Chicago Department of Public Health; Healthy Chicago Survey
Hypertension,Hypertension rate (% of adults); 2016-2018,Percent of adults who reported that a doctor; nurse or other health professional has diagnosed them with high blood pressure (excludes borderline high; pre-hypertensive or hypertension diagnosed only during pregnancy).,Chicago Department of Public Health; Healthy Chicago Survey
Obesity,Adult obesity rate (% of adults); 2016-2018,Percent of adults who reported a height and weight that yield a body mass index of 30 or greater.,Chicago Department of Public Health; Healthy Chicago Survey
LowBirthweight,Low birthweight rate (% of births); 2013-2017,Percent of births with a birthweight less than 2500 grams (5.5 pounds).,Illinois Department of Public Health; Birth Certificate Data Files
